YearMonth,NO2 AQI,O3 AQI,SO2 AQI,CO AQI,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2000-01-01,36.68,19.507450980392157,12.730196078431373,16.916732128829537,23.39959953960784,0.013592040784313725,3.8444750007843136,0.9452076227450981
2000-02-01,35.10324729392173,26.666111573688593,11.908409658617819,12.726894254787677,20.93667631307244,0.019710905911740215,3.4059407514571194,0.7124249229808493
2000-03-01,32.33144297416509,33.23881537492124,12.189666036546944,9.523329129886507,17.724116419659737,0.025117808443604284,3.1510066206679266,0.5355126071203529
2000-04-01,30.941725978647685,37.596085409252666,14.03158362989324,7.853897550111358,16.162970104092526,0.02841371619217082,3.3618969259341633,0.469515006227758
2000-05-01,28.69348491473546,45.43550502842151,14.09707039790118,6.656755574989068,14.99511523130739,0.031861362483602974,3.390105580673371,0.4216375576082204
2000-06-01,26.58641975308642,46.738977072310405,14.365079365079366,6.310626102292769,13.893088255731922,0.030829339947089945,3.2975201754850088,0.4080820074955908
2000-07-01,25.842105263157894,46.09663503019845,14.159620362381363,5.972821397756687,13.528953329163071,0.029914572044866264,3.237706939603106,0.38241456525021567
2000-08-01,28.525210084033613,45.74579831932773,15.761764705882353,6.686764705882353,14.978931086554622,0.028700786974789918,3.5975455233193276,0.41870121649159664
2000-09-01,29.413777777777778,35.76488888888889,15.701333333333332,7.610938194753223,15.95681044222222,0.022740404444444442,3.7935484677777778,0.4474070707777778
2000-10-01,32.93720225205717,28.92074491121698,16.01992204417497,10.462305025996534,19.323769868341273,0.019165062797747944,4.470424900389779,0.5885368516673886
2000-11-01,36.59010054137664,20.66279969064192,12.159319412219645,16.609604957397366,23.107257341067285,0.013536841453982986,3.713914866202629,0.8776288534416086
2000-12-01,38.36376811594203,16.52173913043478,14.357246376811593,18.83393763596809,25.493288507246376,0.011332566666666667,4.606577043478261,1.0328986554347825
2001-01-01,38.03046875,19.18203125,13.70390625,16.386239249413606,24.997764959374997,0.01322336875,4.1623029859375,0.90413396953125
2001-02-01,32.93689745836985,23.799298860648555,9.715162138475021,11.964912280701755,19.948953908851884,0.017742463628396144,2.6247805543382996,0.6812970363716039
2001-03-01,32.03664596273292,32.27639751552795,11.52919254658385,9.035403726708074,18.048321011801242,0.024427445341614906,2.9854780375776397,0.5289843673913044
