State,City,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
California,Fontana,2675,34.65906542056075,55.98018691588785,1.4134579439252337,5.202242990654206,60.95626168224299
California,Rubidoux,5361,32.25163215817945,55.71516508114158,2.865137101287073,9.664224379316781,60.76133184107443
North Carolina,Winston-Salem,486,24.041152263374485,56.849794238683124,21.746913580246915,6.82680412371134,60.33127572016461
California,Fresno,3517,24.513932328689222,52.570088143303956,1.9974410008529997,6.36126920887877,55.94114301961899
California,Victorville,5835,34.837703513281916,51.25038560411311,3.183718937446444,5.747460836632811,54.85381319622965
California,Burbank,4738,44.42866188265091,39.98248205994091,2.6525960320810467,12.621490394764619,54.57091599831153
Kentucky,Ashland,856,25.641355140186917,51.026869158878505,22.0338785046729,2.7850467289719627,54.279205607476634
Missouri,Sunset Hills,432,26.8125,48.00694444444444,20.435185185185187,7.474537037037037,51.863425925925924
Pennsylvania,Reading,1317,29.968868640850417,43.07137433561124,30.044039483675018,6.375094912680334,51.83371298405467
Country Of Mexico,Mexicali,1094,42.782449725776964,37.06307129798903,9.207495429616088,21.608775137111518,51.63345521023766
Michigan,Detroit,1166,35.14065180102916,39.783018867924525,26.878216123499143,7.066037735849057,50.65180102915952
Pennsylvania,Lancaster,1883,22.40785979819437,48.5108868826341,15.86032926181625,4.514604354753054,50.18640467339352
Arizona,Phoenix,9055,39.8921038100497,40.71860850358918,4.95096631695196,11.087283173130041,49.83854224185533
Pennsylvania,Norristown,1848,25.899350649350648,47.762445887445885,12.404761904761905,3.537878787878788,49.78084415584416
California,Hawthorne,1512,44.982142857142854,32.35251322751323,8.276455026455027,17.131613756613756,49.71626984126984
Oklahoma,Ponca City,746,11.172922252010723,45.43029490616622,16.117962466487935,1.4864864864864864,48.77211796246649
Pennsylvania,Beaver Falls,1866,26.712754555198284,40.641479099678456,28.959807073954984,3.422293676312969,47.70257234726688
Utah,Not in a city,496,3.0725806451612905,47.54032258064516,0.1028225806451613,4.754032258064516,47.582661290322584
