Year,State,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000,Arizona,47.12925170068027,39.04875283446712,7.503401360544218,15.169318181818182
2000,California,29.994367816091955,32.714942528735634,6.044827586206897,11.268912393653714
2000,Colorado,32.75342465753425,27.553424657534247,21.50958904109589,11.558904109589042
2000,District Of Columbia,37.2967032967033,27.956043956043956,24.774725274725274,18.563186813186814
2000,Florida,25.573033707865168,39.21910112359551,7.556179775280899,10.342696629213483
2000,Illinois,42.15482954545455,24.0625,24.583806818181817,11.079545454545455
2000,Indiana,31.74251497005988,43.209580838323355,24.934131736526947,12.125748502994012
2000,Kansas,18.80081300813008,40.173441734417345,5.651761517615176,11.089430894308943
2000,Kentucky,26.82857142857143,42.58095238095238,22.82930402930403,3.4857142857142858
2000,Louisiana,33.45628415300546,38.76775956284153,20.010928961748633,11.633879781420765
2000,Michigan,39.394444444444446,34.49444444444445,30.666666666666668,6.788888888888889
2000,Missouri,31.54447022428461,42.319412219644235,20.73317865429234,8.314771848414539
2000,New Jersey,34.626740947075206,31.331476323119777,21.16434540389972,10.005586592178771
2000,New York,36.51486199575371,30.809978768577494,21.138004246284503,8.386411889596603
2000,North Carolina,31.982683982683984,55.96969696969697,17.64069264069264,10.25974025974026
2000,Oklahoma,13.433333333333334,49.611111111111114,8.333333333333334,1.2798507462686568
2000,Pennsylvania,29.204890126895698,39.6214794181368,21.553079541937482,5.391950464396285
2000,Texas,32.42261904761905,38.61309523809524,14.267857142857142,8.492537313432836
2000,Virginia,30.08156862745098,33.52,24.589019607843138,9.696470588235295
2001,Arizona,41.486784140969164,34.919603524229075,5.88215859030837,13.253303964757709
2001,California,30.480236305048336,34.30042964554243,6.3324382384532765,10.6157730740303
2001,Colorado,48.03115264797508,27.118380062305295,23.98753894080997,11.925233644859814
2001,District Of Columbia,38.93409742120344,32.47277936962751,23.011461318051577,17.312320916905446
2001,Florida,25.121813031161473,35.04532577903683,6.181303116147308,9.011363636363637
2001,Illinois,37.9148665819568,31.935196950444727,27.491740787801778,9.833545108005083
2001,Indiana,30.837078651685392,50.28651685393258,18.786516853932586,5.842696629213483
2001,Kansas,19.412868632707774,36.83512064343164,5.313672922252011,6.345844504021447
2001,Kentucky,26.560576923076923,44.10288461538462,21.221153846153847,2.644230769230769
2001,Louisiana,32.7,35.672222222222224,18.54722222222222,12.7
2001,Massachusetts,35.215384615384615,27.596153846153847,16.153846153846153,6.3961538461538465
2001,Michigan,41.585034013605444,46.564625850340136,30.897959183673468,8.136054421768707
2001,Missouri,33.25056433408578,44.70880361173815,23.124153498871333,8.48081264108352
2001,Nevada,16.58695652173913,31.543478260869566,3.6739130434782608,1.576086956521739
2001,New Jersey,38.04761904761905,36.72077922077922,21.13203463203463,10.242424242424242
2001,New York,38.94661921708185,30.918149466192173,22.469750889679716,8.376334519572953
2001,North Carolina,29.32601880877743,57.25705329153605,17.74921630094044,7.8119122257053295
2001,Oklahoma,17.53968253968254,47.2968253968254,5.6158730158730155,0.9346092503987241
2001,Pennsylvania,30.08108108108108,47.10104422604422,22.180282555282556,5.56405529953917
2001,Texas,31.60939907550077,37.68412942989214,8.942218798151002,7.64225134926754
2002,Arizona,43.52713178294574,36.72093023255814,6.842746400885936,13.655592469545958
2002,California,28.786301088519203,35.38457588827275,5.476278496611214,10.288487213720858
2002,Colorado,37.911764705882355,33.10294117647059,22.415441176470587,9.525735294117647
2002,District Of Columbia,39.8,37.345205479452055,23.912328767123288,17.15890410958904
2002,Florida,23.1267217630854,33.815426997245176,4.008264462809917,7.2809917355371905
2002,Illinois,34.148148148148145,35.11243386243386,21.296296296296298,9.670634920634921
2002,Indiana,33.4296875,57.671875,20.1796875,6.609375
2002,Kansas,17.159600997506235,35.9214463840399,6.002493765586035,5.882793017456359
2002,Kentucky,22.624784853700515,48.908777969018935,15.06540447504303,2.719449225473322
2002,Louisiana,31.344927536231886,32.26376811594203,13.918840579710144,10.942028985507246
2002,Massachusetts,35.55417956656347,25.445820433436534,14.764705882352942,6.649068322981367
2002,Michigan,35.40793201133145,45.3371104815864,18.45042492917847,6.7025495750708215
2002,Missouri,33.274647887323944,49.30046948356807,20.901408450704224,9.204225352112676
2002,Nevada,12.764367816091953,44.67528735632184,1.1522988505747127,1.1005747126436782
2002,New Hampshire,20.60326086956522,41.108695652173914,8.402173913043478,4.907608695652174
2002,New Jersey,38.72148148148148,37.0637037037037,19.78814814814815,9.27111111111111
2002,New York,38.22350674373796,34.4980732177264,20.665703275529864,7.48747591522158
2002,North Carolina,26.542274052478135,62.68221574344023,19.300291545189506,6.839650145772595
2002,Oklahoma,14.612554112554113,39.88961038961039,8.0995670995671,1.565217391304348
2002,Pennsylvania,27.75868317728783,48.68982180610087,20.588643914225308,4.4331017819389915
2002,Tennessee,7.427397260273972,57.01917808219178,3.578082191780822,11.0
2002,Texas,31.792039800995024,41.21890547263681,2.7064676616915424,6.805776892430279
2003,Arizona,41.89182389937107,35.48050314465409,6.568553459119497,12.241509433962264
2003,California,27.545513795350857,35.60666956332827,4.822181186182924,9.713028360317288
2003,Colorado,40.91475409836065,31.537704918032787,19.20327868852459,10.232786885245902
2003,District Of Columbia,36.11357340720222,28.445983379501385,25.64819944598338,14.570637119113574
2003,Florida,22.475138121546962,33.74033149171271,3.596685082872928,6.718232044198895
2003,Illinois,34.93217391304348,31.69217391304348,26.30608695652174,8.761739130434783
2003,Indiana,30.921348314606742,44.853932584269664,20.685393258426966,6.910112359550562
2003,Kansas,18.307060755336618,38.10016420361248,8.848932676518883,5.113300492610837
2003,Kentucky,22.72983870967742,43.895161290322584,15.810483870967742,2.629032258064516
2003,Louisiana,29.79722222222222,32.94722222222222,15.472222222222221,9.952777777777778
2003,Massachusetts,32.83835616438356,25.635616438356163,16.60821917808219,9.501369863013698
2003,Michigan,32.57971014492754,39.60289855072464,17.434782608695652,7.165217391304348
2003,Missouri,31.104895104895103,45.41958041958042,17.82051282051282,9.233100233100233
2003,Nevada,9.114457831325302,43.7710843373494,0.3674698795180723,0.09036144578313253
2003,New Hampshire,18.511494252873565,37.14367816091954,9.293103448275861,5.350574712643678
2003,New Jersey,36.83969465648855,31.34351145038168,24.017811704834607,9.582697201017812
2003,New York,35.73965691220989,30.027245206861757,22.108980827447024,8.455095862764884
2003,North Carolina,25.13213213213213,48.885885885885884,18.366366366366368,7.632530120481928
2003,Oklahoma,13.525943396226415,45.10849056603774,8.00943396226415,0.9692671394799054
2003,Pennsylvania,26.133616762830247,39.35256604919526,20.611296689948375,4.532948679016095
2003,South Carolina,5.9363636363636365,37.9,4.3090909090909095,3.2636363636363637
2003,Tennessee,9.254901960784315,43.57843137254902,3.2941176470588234,11.0
2003,Texas,31.07894736842105,39.09649122807018,9.150584795321638,8.102489019033674
2004,Arizona,38.64725643896976,35.64837625979843,5.931690929451288,9.879059350503919
2004,California,26.362315416420554,34.67147076196102,5.537271116361488,8.617511520737327
2004,Colorado,39.886297376093296,27.08454810495627,15.641399416909621,10.612244897959183
2004,District Of Columbia,33.94230769230769,27.662087912087912,21.546703296703296,10.645604395604396
2004,Florida,20.867977528089888,36.418539325842694,3.359550561797753,7.23876404494382
2004,Illinois,32.28087986463621,29.314720812182742,21.76818950930626,9.262267343485618
2004,Indiana,28.034965034965033,42.67132867132867,21.832167832167833,8.34965034965035
